Index,Season,S/C,Pos,G,A,A1,S,Ht,Wt,Hits,HitsT,BkS,GvA,TkA,TOI,GP,SAT% Relative,Pen Drawn,Pen Taken,SAT%,USAT %,On-Ice GF %,OZ Ratio,OZ Start%,NZ Start%,DZ Start%,FOW,FOL,ixG,iCF,18+ MPH Speed Bursts,20+ MPH Speed Bursts,22+ MPH Speed Bursts,Top Speed (MPH),GF,GA,xGF,xGA,oiSh%,oiSv%,PDO,TOI/GP
453,23-24,L,C,25,28,16,142,71,191,16,47,26,40,40,1246.53,76,0.1,4,5,59.3,58.7,56.7,57,38.2,32.9,28.9,66,74,15.49,272,274,23,0,21.2,38,29,40.59,33.95,7.66,92.62,100.28,16.4
1119,23-24,L,C,4,13,5,74,72,188,108,126,23,13,13,1000.45,80,1.6,13,23,52,51.5,50.8,51.5,35.1,31.7,33.2,284,330,6.87,138,588,85,1,22.36,31,30,32.83,37.46,7.43,92.15,99.58,12.51
408,23-24,R,C,1,0,0,24,70,196,79,39,19,1,3,308.38,34,-4.6,6,2,44.2,44.3,42.8,26.3,13.8,47.5,38.7,0,3,2.81,53,216,38,0,21.74,6,8,8.08,9.59,6.12,93.94,100.06,9.07
1463,23-24,L,C,20,21,13,171,73,193,173,66,43,27,40,1146.08,69,1.8,21,34,57.1,54.9,61.6,59.4,38.9,34.5,26.6,390,468,23.57,345,620,100,4,22.48,45,28,47.7,37.04,8.51,93.9,102.41,16.61
431,23-24,R,C,6,15,11,68,75,210,82,73,49,13,26,940.73,71,-7.3,23,16,39.5,40.2,36.9,36.2,23.9,34.1,42,247,342,9.14,133,365,43,1,22.47,17,29,19.98,34.57,6.03,92.91,98.94,13.25
1365,23-24,L,C,11,26,13,95,72,181,92,109,45,17,16,1128.27,78,1.6,19,13,52.6,53.7,58.4,59.2,39.9,32.7,27.4,173,304,13.68,180,486,96,8,22.89,45,32,37.69,32.22,9.89,92.21,102.1,14.46
208,24-25,L,D,7,33,16,139,78,226,26,122,109,73,26,1683.63,79,2.1,6,8,51.1,50.7,48,51.5,35,31.9,33,0,0,9.05,282,450,47,0,21.41,62,67,54.94,58.39,10.1,89.33,99.43,21.31
1192,23-24,R,D,3,20,8,62,73,200,92,158,116,40,10,1081.48,55,-2.9,6,8,48.6,51.5,52.7,59.2,40.8,31,28.1,0,0,3.35,150,304,48,0,21.96,39,36,42.46,37.32,8.02,91.8,99.82,19.66
1468,23-24,L,L,11,19,11,98,70,177,35,93,35,20,31,1030.73,71,2.4,15,18,52.6,52.8,47.9,53.2,35.3,33.6,31.1,5,12,14.13,172,367,22,0,21.47,35,38,40.39,36.42,7.59,90.33,97.92,14.52
469,24-25,R,R,20,23,16,188,73,210,115,92,63,58,32,1231.37,77,2.1,10,7,50.1,51.9,48.3,57.9,39.2,32.3,28.5,7,11,18.09,413,880,291,38,23.89,44,47,40.66,34.78,9.59,89.12,98.71,15.99
874,23-24,L,C,13,13,10,97,72,184,129,135,41,19,28,1061.5,72,-1,24,30,49.6,51,55.1,50.7,34.2,32.5,33.3,197,252,12.01,181,451,82,0,21.87,43,35,34.75,36.18,10.14,91.53,101.67,14.74
